Source ;Date;Title;Link
The New York Times;Oct. 4, 2021, 10:35 a.m.;U.S. Signals No Thaw in Trade Relations With China;https://www.nytimes.com/2021/10/04/business/economy/us-china-trade.html
Reuters;Jan. 14, 2021, 11:32 a.m.;U.S.-China trade war has cost up to 245,000 U.S. jobs: business group study;https://www.reuters.com/article/us-usa-trade-china-jobs/u-s-china-trade-war-has-cost-up-to-245000-u-s-jobs-business-group-study-idUSKBN29J2O9
Washington Post;Sept. 22, 2021, 5:00 a.m.;U.S. tariffs on Chinese goods didn’t bring companies back to the U.S., new research finds;https://www.washingtonpost.com/politics/2021/09/22/us-tariffs-chinese-goods-didnt-bring-companies-back-us-new-research-finds/
Fortune;Nov. 8, 2020, 10:40 p.m.;Why a Biden presidency won’t end the U.S.-China trade war;https://fortune.com/2020/11/09/joe-biden-us-china-trade-war/
Time;Aug. 7, 2019, 5:04 a.m.;The U.S.-China Trade War Is Steering the World Toward Crisis and There Is No Easy Retreat;https://time.com/5645964/donald-trump-china-trade-war-crisis/
The New Yorker;June 1, 2018, 10:30 a.m.;Trump’s New Tariffs Are Causing America’s Closest Friends to View Him as a Hostile Threat;https://www.newyorker.com/news/our-columnists/after-talking-tough-on-china-trump-launches-a-trade-war-thats-harder-on-us-allies
The Indian Express;May 13, 2019, 8:27 a.m.;The US-China trade war, and its impact on India;https://indianexpress.com/article/explained/simply-put-the-us-china-trade-war-trump-tariffs-5724261/
